gene_name	ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DPM1	ENSG00000000419	592.399955389385	-0.0259577447486328	0.161761508272788	-0.160469230447942	0.872511458050226	0.938402409957316
SCYL3	ENSG00000000457	241.955625392367	0.491607601523718	0.232729134889983	2.11235951079401	0.0346556250621877	0.154679049057177
C1orf112	ENSG00000000460	79.6148286570609	0.343656823628646	0.288992040382642	1.18915670886169	0.234378006359679	0.464957909179912
FGR	ENSG00000000938	31136.514998329	-0.289503848208198	0.216870075508282	-1.33491837234659	0.18190306394907	0.401488657036353
CFH	ENSG00000000971	11.9527933199172	1.00134014532243	0.793183584320406	1.26243175617454	0.206793468287136	0.432780527144758
FUCA2	ENSG00000001036	1183.45933841313	-0.338415357378498	0.172702277642662	-1.95953036634939	0.0500507072336352	0.191894079821709
GCLC	ENSG00000001084	558.664416336181	-0.0747873970461359	0.142394563775542	-0.525212445357283	0.59943551427259	0.777316235584042
NFYA	ENSG00000001167	823.988258981214	-0.105348644492678	0.166182265906165	-0.633934336604626	0.526123675860049	0.723676848276382
STPG1	ENSG00000001460	19.3772589886843	0.708933022243286	0.305592873112695	2.31986111136122	0.020348391895482	0.112286954126571
NIPAL3	ENSG00000001461	205.388493882271	0.308288754814923	0.174398157498893	1.76772942579327	0.0771061482096685	0.246468374860572
LAS1L	ENSG00000001497	594.982962234945	-0.195945620443873	0.17371909604078	-1.1279451995184	0.259343063394567	0.491817250851859
ENPP4	ENSG00000001561	151.486730127429	0.961495431781716	0.284976998234173	3.37394048551115	0.000741003864900472	0.0154287909674874
SEMA3F	ENSG00000001617	37.6439906601801	1.6019504315614	1.1680461746919	1.37147868489356	0.170225783659738	0.386943992034764
ANKIB1	ENSG00000001629	740.740370844517	-0.0101801414070159	0.196819188799925	-0.0517233175743062	0.958749157367585	0.980277500513378
CYP51A1	ENSG00000001630	19.8235982949389	0.912207061234154	0.499582093813041	1.82594026593661	0.0678592600696864	0.22913119876034
KRIT1	ENSG00000001631	566.392550457136	-0.0714819404344058	0.201713814409129	-0.354373053941767	0.723059325841023	0.858017807186986
RAD52	ENSG00000002016	219.686999470797	0.0593287360959354	0.244796390238569	0.242359521879043	0.808501596353841	0.906443352243127
BAD	ENSG00000002330	329.590215743773	-0.084840959089719	0.269160838876994	-0.31520543420691	0.752605679821492	0.877198483350655
LAP3	ENSG00000002549	3214.85000936932	0.707956560803906	0.315963458098449	2.24062796712181	0.0250501835750016	0.128254379740189
HS3ST1	ENSG00000002587	301.679305413973	2.73420612846108	0.956805799547377	2.85763958554026	0.00426804866865224	0.0437252737650728
AOC1	ENSG00000002726	7.31526489507308	1.09756591741615	0.908497276902762	1.2081114003533	0.227004415165761	0.456011258340681
MAD1L1	ENSG00000002822	982.975816531535	0.332407940652759	0.19665057284337	1.69034819398934	0.0909613599971783	0.271098798988077
LASP1	ENSG00000002834	6327.03923349396	0.179607065562578	0.182134913043327	0.986121016347112	0.324073731720653	0.558010759355195
